n,i,g,loop_bitrev,idx,angle_deg_wrapped,angle_deg_unwrapped,delta_next_deg_unwrapped
0,0,0,0,0,0,0,5.625
1,0,1,2,2,5.625,5.625,-2.8125
2,0,2,1,1,2.8125,2.8125,5.625
3,0,3,3,3,8.4375,8.4375,2.8125
4,1,0,0,4,11.25,11.25,5.625
5,1,1,2,6,16.875,16.875,-2.8125
6,1,2,1,5,14.0625,14.0625,5.625
7,1,3,3,7,19.6875,19.6875,2.8125
8,2,0,0,8,22.5,22.5,5.625
9,2,1,2,10,28.125,28.125,-2.8125
10,2,2,1,9,25.3125,25.3125,5.625
11,2,3,3,11,30.9375,30.9375,2.8125
12,3,0,0,12,33.75,33.75,5.625
13,3,1,2,14,39.375,39.375,-2.8125
14,3,2,1,13,36.5625,36.5625,5.625
15,3,3,3,15,42.1875,42.1875,2.8125
16,4,0,0,16,45,45,5.625
17,4,1,2,18,50.625,50.625,-2.8125
18,4,2,1,17,47.8125,47.8125,5.625
19,4,3,3,19,53.4375,53.4375,2.8125
20,5,0,0,20,56.25,56.25,5.625
21,5,1,2,22,61.875,61.875,-2.8125
22,5,2,1,21,59.0625,59.0625,5.625
23,5,3,3,23,64.6875,64.6875,2.8125
24,6,0,0,24,67.5,67.5,5.625
25,6,1,2,26,73.125,73.125,-2.8125
26,6,2,1,25,70.3125,70.3125,5.625
27,6,3,3,27,75.9375,75.9375,2.8125
28,7,0,0,28,78.75,78.75,5.625
29,7,1,2,30,84.375,84.375,-2.8125
30,7,2,1,29,81.5625,81.5625,5.625
31,7,3,3,31,87.1875,87.1875,2.8125
32,8,0,0,32,90,90,5.625
33,8,1,2,34,95.625,95.625,-2.8125
34,8,2,1,33,92.8125,92.8125,5.625
35,8,3,3,35,98.4375,98.4375,2.8125
36,9,0,0,36,101.25,101.25,5.625
37,9,1,2,38,106.875,106.875,-2.8125
38,9,2,1,37,104.0625,104.0625,5.625
39,9,3,3,39,109.6875,109.6875,2.8125
40,10,0,0,40,112.5,112.5,5.625
41,10,1,2,42,118.125,118.125,-2.8125
42,10,2,1,41,115.3125,115.3125,5.625
43,10,3,3,43,120.9375,120.9375,2.8125
44,11,0,0,44,123.75,123.75,5.625
45,11,1,2,46,129.375,129.375,-2.8125
46,11,2,1,45,126.5625,126.5625,5.625
47,11,3,3,47,132.1875,132.1875,2.8125
48,12,0,0,48,135,135,5.625
49,12,1,2,50,140.625,140.625,-2.8125
50,12,2,1,49,137.8125,137.8125,5.625
51,12,3,3,51,143.4375,143.4375,2.8125
52,13,0,0,52,146.25,146.25,5.625
53,13,1,2,54,151.875,151.875,-2.8125
54,13,2,1,53,149.0625,149.0625,5.625
55,13,3,3,55,154.6875,154.6875,2.8125
56,14,0,0,56,157.5,157.5,5.625
57,14,1,2,58,163.125,163.125,-2.8125
58,14,2,1,57,160.3125,160.3125,5.625
59,14,3,3,59,165.9375,165.9375,2.8125
60,15,0,0,60,168.75,168.75,5.625
61,15,1,2,62,174.375,174.375,-2.8125
62,15,2,1,61,171.5625,171.5625,5.625
63,15,3,3,63,177.1875,177.1875,2.8125
64,16,0,0,64,180,180,5.625
65,16,1,2,66,185.625,185.625,-2.8125
66,16,2,1,65,182.8125,182.8125,5.625
67,16,3,3,67,188.4375,188.4375,2.8125
68,17,0,0,68,191.25,191.25,5.625
69,17,1,2,70,196.875,196.875,-2.8125
70,17,2,1,69,194.0625,194.0625,5.625
71,17,3,3,71,199.6875,199.6875,2.8125
72,18,0,0,72,202.5,202.5,5.625
73,18,1,2,74,208.125,208.125,-2.8125
74,18,2,1,73,205.3125,205.3125,5.625
75,18,3,3,75,210.9375,210.9375,2.8125
76,19,0,0,76,213.75,213.75,5.625
77,19,1,2,78,219.375,219.375,-2.8125
78,19,2,1,77,216.5625,216.5625,5.625
79,19,3,3,79,222.1875,222.1875,2.8125
80,20,0,0,80,225,225,5.625
81,20,1,2,82,230.625,230.625,-2.8125
82,20,2,1,81,227.8125,227.8125,5.625
83,20,3,3,83,233.4375,233.4375,2.8125
84,21,0,0,84,236.25,236.25,5.625
85,21,1,2,86,241.875,241.875,-2.8125
86,21,2,1,85,239.0625,239.0625,5.625
87,21,3,3,87,244.6875,244.6875,2.8125
88,22,0,0,88,247.5,247.5,5.625
89,22,1,2,90,253.125,253.125,-2.8125
90,22,2,1,89,250.3125,250.3125,5.625
91,22,3,3,91,255.9375,255.9375,2.8125
92,23,0,0,92,258.75,258.75,5.625
93,23,1,2,94,264.375,264.375,-2.8125
94,23,2,1,93,261.5625,261.5625,5.625
95,23,3,3,95,267.1875,267.1875,2.8125
96,24,0,0,96,270,270,5.625
97,24,1,2,98,275.625,275.625,-2.8125
