k,angle_deg_sorted,delta_to_next_deg_cyclic
0,0,2.8125
1,2.8125,2.8125
2,5.625,2.8125
3,8.4375,2.8125
4,11.25,2.8125
5,14.0625,2.8125
6,16.875,2.8125
7,19.6875,2.8125
8,22.5,2.8125
9,25.3125,2.8125
10,28.125,2.8125
11,30.9375,2.8125
12,33.75,2.8125
13,36.5625,2.8125
14,39.375,2.8125
15,42.1875,2.8125
16,45,2.8125
17,47.8125,2.8125
18,50.625,2.8125
19,53.4375,2.8125
20,56.25,2.8125
21,59.0625,2.8125
22,61.875,2.8125
23,64.6875,2.8125
24,67.5,2.8125
25,70.3125,2.8125
26,73.125,2.8125
27,75.9375,2.8125
28,78.75,2.8125
29,81.5625,2.8125
30,84.375,2.8125
31,87.1875,2.8125
32,90,2.8125
33,92.8125,2.8125
34,95.625,2.8125
35,98.4375,2.8125
36,101.25,2.8125
37,104.0625,2.8125
38,106.875,2.8125
39,109.6875,2.8125
40,112.5,2.8125
41,115.3125,2.8125
42,118.125,2.8125
43,120.9375,2.8125
44,123.75,2.8125
45,126.5625,2.8125
46,129.375,2.8125
47,132.1875,2.8125
48,135,2.8125
49,137.8125,2.8125
50,140.625,2.8125
51,143.4375,2.8125
52,146.25,2.8125
53,149.0625,2.8125
54,151.875,2.8125
55,154.6875,2.8125
56,157.5,2.8125
57,160.3125,2.8125
58,163.125,2.8125
59,165.9375,2.8125
60,168.75,2.8125
61,171.5625,2.8125
62,174.375,2.8125
63,177.1875,2.8125
64,180,2.8125
65,182.8125,2.8125
66,185.625,2.8125
67,188.4375,2.8125
68,191.25,2.8125
69,194.0625,2.8125
70,196.875,2.8125
71,199.6875,2.8125
72,202.5,2.8125
73,205.3125,2.8125
74,208.125,2.8125
75,210.9375,2.8125
76,213.75,2.8125
77,216.5625,2.8125
78,219.375,2.8125
79,222.1875,2.8125
80,225,2.8125
81,227.8125,2.8125
82,230.625,2.8125
83,233.4375,2.8125
84,236.25,2.8125
85,239.0625,2.8125
86,241.875,2.8125
87,244.6875,2.8125
88,247.5,2.8125
89,250.3125,2.8125
90,253.125,2.8125
91,255.9375,2.8125
92,258.75,2.8125
93,261.5625,2.8125
94,264.375,2.8125
95,267.1875,2.8125
96,270,2.8125
97,272.8125,2.8125
98,275.625,2.8125
99,278.4375,2.8125
100,281.25,2.8125
101,284.0625,2.8125
102,286.875,2.8125
103,289.6875,2.8125
104,292.5,2.8125
105,295.3125,2.8125
106,298.125,2.8125
107,300.9375,2.8125
108,303.75,2.8125
109,306.5625,2.8125
110,309.375,2.8125
111,312.1875,2.8125
112,315,2.8125
113,317.8125,2.8125
114,320.625,2.8125
115,323.4375,2.8125
116,326.25,2.8125
117,329.0625,2.8125
118,331.875,2.8125
119,334.6875,2.8125
120,337.5,2.8125
121,340.3125,2.8125
122,343.125,2.8125
123,345.9375,2.8125
124,348.75,2.8125
125,351.5625,2.8125
126,354.375,2.8125
127,357.1875,2.8125
