n,angle_deg_wrapped,angle_deg_unwrapped,delta_next_deg_unwrapped,group,group_br,idx
0,0,0,45,0,0,0
1,45,45,45,0,0,4
2,90,90,45,0,0,8
3,135,135,45,0,0,12
4,180,180,45,0,0,16
5,225,225,45,0,0,20
6,270,270,45,0,0,24
7,315,315,67.5,0,0,28
8,22.5,382.5,45,1,2,34
9,67.5,427.5,45,1,2,38
10,112.5,472.5,45,1,2,42
11,157.5,517.5,45,1,2,46
12,202.5,562.5,45,1,2,50
13,247.5,607.5,45,1,2,54
14,292.5,652.5,45,1,2,58
15,337.5,697.5,33.75,1,2,62
16,11.25,731.25,45,2,1,65
17,56.25,776.25,45,2,1,69
18,101.25,821.25,45,2,1,73
19,146.25,866.25,45,2,1,77
20,191.25,911.25,45,2,1,81
21,236.25,956.25,45,2,1,85
22,281.25,1001.25,45,2,1,89
23,326.25,1046.25,67.5,2,1,93
24,33.75,1113.75,45,3,3,99
25,78.75,1158.75,45,3,3,103
26,123.75,1203.75,45,3,3,107
27,168.75,1248.75,45,3,3,111
28,213.75,1293.75,45,3,3,115
29,258.75,1338.75,45,3,3,119
30,303.75,1383.75,45,3,3,123
31,348.75,1428.75,nan,3,3,127
