k,angle_deg_sorted,delta_to_next_deg_cyclic
0,0,11.25
1,11.25,11.25
2,22.5,11.25
3,33.75,11.25
4,45,11.25
5,56.25,11.25
6,67.5,11.25
7,78.75,11.25
8,90,11.25
9,101.25,11.25
10,112.5,11.25
11,123.75,11.25
12,135,11.25
13,146.25,11.25
14,157.5,11.25
15,168.75,11.25
16,180,11.25
17,191.25,11.25
18,202.5,11.25
19,213.75,11.25
20,225,11.25
21,236.25,11.25
22,247.5,11.25
23,258.75,11.25
24,270,11.25
25,281.25,11.25
26,292.5,11.25
27,303.75,11.25
28,315,11.25
29,326.25,11.25
30,337.5,11.25
31,348.75,11.25
